RANK,Country,Happiness score ,Whisker-high ,Whisker-low,Dystopia (1.83) + residual ,Explained by: GDP per capita ,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
118,Nigeria,4.55,4.65,4.45,1.78,1.08,0.732,0.3,0.444,0.175,0.038
119,Kenya,4.54,4.68,4.4,1.66,1.03,0.605,0.401,0.44,0.322,0.082
120,Tunisia,4.52,4.63,4.4,1.54,1.35,0.596,0.656,0.316,0.029,0.029
121,Pakistan,4.52,4.63,4.4,1.94,1.05,0.413,0.374,0.448,0.181,0.112
122,State of Palestine,4.48,4.67,4.3,1.37,1.15,0.957,0.521,0.336,0.073,0.079
123,Mali,4.48,4.61,4.35,2.37,0.79,0.483,0.311,0.35,0.128,0.042
124,Namibia,4.46,4.59,4.33,1.41,1.29,0.877,0.354,0.384,0.067,0.071
125,Eswatini,4.4,4.61,4.19,1.69,1.27,0.786,0.197,0.259,0.038,0.154
126,Myanmar,4.39,4.51,4.28,0.88,1.04,0.829,0.491,0.513,0.452,0.194
127,Sri Lanka,4.36,4.49,4.24,0.6,1.42,0.934,0.66,0.529,0.15,0.079
128,Madagascar,4.34,4.53,4.15,2.15,0.67,0.645,0.378,0.202,0.143,0.154
129,Egypt,4.29,4.38,4.2,0.86,1.39,0.732,0.548,0.469,0.041,0.254
130,Chad,4.25,4.5,4,2.42,0.66,0.506,0.225,0.18,0.182,0.077
131,Ethiopia,4.24,4.37,4.12,1.38,0.79,0.809,0.457,0.472,0.205,0.136
132,Yemen,4.2,4.38,4.01,1.56,0.69,1,0.384,0.33,0.09,0.098
133,Mauritania,4.15,4.36,3.95,1.21,1.1,0.865,0.45,0.304,0.088,0.138
134,Jordan,4.15,4.28,4.03,0.7,1.32,0.724,0.675,0.476,0.058,0.2
135,Togo,4.11,4.27,3.95,2.06,0.77,0.322,0.36,0.292,0.174,0.132
136,India,3.78,3.83,3.73,0.8,1.17,0.376,0.471,0.647,0.198,0.123
137,Zambia,3.76,3.9,3.62,1.14,0.93,0.577,0.306,0.525,0.203,0.083
138,Malawi,3.75,3.94,3.56,1.66,0.65,0.279,0.388,0.477,0.14,0.157
139,Tanzania,3.7,3.85,3.56,0.74,0.85,0.597,0.425,0.578,0.248,0.27
140,Sierra Leone,3.57,3.73,3.42,1.56,0.69,0.416,0.273,0.387,0.202,0.055
141,Lesotho,3.51,3.75,3.28,1.31,0.84,0.848,0,0.419,0.076,0.018
142,Botswana,3.47,3.67,3.28,0.19,1.5,0.815,0.28,0.571,0.012,0.102
143,Rwanda,3.27,3.46,3.07,0.54,0.79,0.133,0.462,0.621,0.187,0.544
144,Zimbabwe,3,3.11,2.88,0.55,0.95,0.69,0.27,0.329,0.106,0.105
145,Lebanon,2.96,3.05,2.86,0.22,1.39,0.498,0.631,0.103,0.082,0.034
146,Afghanistan,2.4,2.47,2.34,1.26,0.76,0,0.289,0,0.089,0.005
147,xx,  -    , -   , -   ,,,,0,0,0,0
